"Sex","Pclass","Survived","PassengerId","Name","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked"
"male","1","0","28","Fortune, Mr. Charles Alexander","19","3","2","19950","263","C23 C25 C27","S"
"female","3","1","29","O'Dwyer, Miss. Ellen ""Nellie""","","0","0","330959","7.8792","","Q"
"male","3","0","30","Todoroff, Mr. Lalio","","0","0","349216","7.8958","","S"
"male","1","0","31","Uruchurtu, Don. Manuel E","40","0","0","PC 17601","27.7208","","C"
"female","1","1","32","Spencer, Mrs. William Augustus (Marie Eugenie)","","1","0","PC 17569","146.5208","B78","C"
"female","3","1","33","Glynn, Miss. Mary Agatha","","0","0","335677","7.75","","Q"
"male","2","0","34","Wheadon, Mr. Edward H","66","0","0","C.A. 24579","10.5","","S"
"male","1","0","35","Meyer, Mr. Edgar Joseph","28","1","0","PC 17604","82.1708","","C"
"male","1","0","36","Holverson, Mr. Alexander Oskar","42","1","0","113789","52","","S"
"male","3","1","37","Mamee, Mr. Hanna","","0","0","2677","7.2292","","C"
"male","3","0","38","Cann, Mr. Ernest Charles","21","0","0","A./5. 2152","8.05","","S"
"female","3","0","39","Vander Planke, Miss. Augusta Maria","18","2","0","345764","18","","S"
"female","3","1","40","Nicola-Yarred, Miss. Jamila","14","1","0","2651","11.2417","","C"
"female","3","0","41","Ahlin, Mrs. Johan (Johanna Persdotter Larsson)","40","1","0","7546","9.475","","S"
"female","2","0","42","Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)","27","1","0","11668","21","","S"
"male","3","0","43","Kraeff, Mr. Theodor","","0","0","349253","7.8958","","C"
"female","2","1","44","Laroche, Miss. Simonne Marie Anne Andree","3","1","2","SC/Paris 2123","41.5792","","C"
"female","3","1","45","Devaney, Miss. Margaret Delia","19","0","0","330958","7.8792","","Q"
"male","3","0","46","Rogers, Mr. William John","","0","0","S.C./A.4. 23567","8.05","","S"
"male","3","0","47","Lennon, Mr. Denis","","1","0","370371","15.5","","Q"
"female","3","1","48","O'Driscoll, Miss. Bridget","","0","0","14311","7.75","","Q"
"male","3","0","49","Samaan, Mr. Youssef","","2","0","2662","21.6792","","C"
"female","3","0","50","Arnold-Franchi, Mrs. Josef (Josefine Franchi)","18","1","0","349237","17.8","","S"
"male","3","0","51","Panula, Master. Juha Niilo","7","4","1","3101295","39.6875","","S"
"male","3","0","52","Nosworthy, Mr. Richard Cater","21","0","0","A/4. 39886","7.8","","S"
"female","1","1","53","Harper, Mrs. Henry Sleeper (Myna Haxtun)","49","1","0","PC 17572","76.7292","D33","C"
"female","2","1","54","Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)","29","1","0","2926","26","","S"
"male","1","0","55","Ostby, Mr. Engelhart Cornelius","65","0","1","113509","61.9792","B30","C"
"male","1","1","56","Woolner, Mr. Hugh","","0","0","19947","35.5","C52","S"
"female","2","1","57","Rugg, Miss. Emily","21","0","0","C.A. 31026","10.5","","S"
"male","3","0","58","Novel, Mr. Mansouer","28.5","0","0","2697","7.2292","","C"
"female","2","1","59","West, Miss. Constance Mirium","5","1","2","C.A. 34651","27.75","","S"
"male","3","0","60","Goodwin, Master. William Frederick","11","5","2","CA 2144","46.9","","S"
"male","3","0","61","Sirayanian, Mr. Orsen","22","0","0","2669","7.2292","","C"
"female","1","1","62","Icard, Miss. Amelie","38","0","0","113572","80","B28",""
"male","1","0","63","Harris, Mr. Henry Birkhardt","45","1","0","36973","83.475","C83","S"
"male","3","0","64","Skoog, Master. Harald","4","3","2","347088","27.9","","S"
"male","1","0","65","Stewart, Mr. Albert A","","0","0","PC 17605","27.7208","","C"
"male","3","1","66","Moubarek, Master. Gerios","","1","1","2661","15.2458","","C"
"female","2","1","67","Nye, Mrs. (Elizabeth Ramell)","29","0","0","C.A. 29395","10.5","F33","S"
"male","3","0","68","Crease, Mr. Ernest James","19","0","0","S.P. 3464","8.1583","","S"
"female","3","1","69","Andersson, Miss. Erna Alexandra","17","4","2","3101281","7.925","","S"
"male","3","0","70","Kink, Mr. Vincenz","26","2","0","315151","8.6625","","S"
"male","2","0","71","Jenkin, Mr. Stephen Curnow","32","0","0","C.A. 33111","10.5","","S"
"female","3","0","72","Goodwin, Miss. Lillian Amy","16","5","2","CA 2144","46.9","","S"
"male","2","0","73","Hood, Mr. Ambrose Jr","21","0","0","S.O.C. 14879","73.5","","S"
"male","3","0","74","Chronopoulos, Mr. Apostolos","26","1","0","2680","14.4542","","C"
"male","3","1","75","Bing, Mr. Lee","32","0","0","1601","56.4958","","S"
"male","3","0","76","Moen, Mr. Sigurd Hansen","25","0","0","348123","7.65","F G73","S"
"male","3","0","77","Staneff, Mr. Ivan","","0","0","349208","7.8958","","S"
"male","3","0","78","Moutal, Mr. Rahamin Haim","","0","0","374746","8.05","","S"
"male","2","1","79","Caldwell, Master. Alden Gates","0.83","0","2","248738","29","","S"
"female","3","1","80","Dowdell, Miss. Elizabeth","30","0","0","364516","12.475","","S"
"male","3","0","81","Waelens, Mr. Achille","22","0","0","345767","9","","S"
"male","3","1","82","Sheerlinck, Mr. Jan Baptist","29","0","0","345779","9.5","","S"
"female","3","1","83","McDermott, Miss. Brigdet Delia","","0","0","330932","7.7875","","Q"
"male","1","0","84","Carrau, Mr. Francisco M","28","0","0","113059","47.1","","S"
"female","2","1","85","Ilett, Miss. Bertha","17","0","0","SO/C 14885","10.5","","S"
"female","3","1","86","Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)","33","3","0","3101278","15.85","","S"
"male","3","0","87","Ford, Mr. William Neal","16","1","3","W./C. 6608","34.375","","S"
"male","3","0","88","Slocovski, Mr. Selman Francis","","0","0","SOTON/OQ 392086","8.05","","S"
"female","1","1","89","Fortune, Miss. Mabel Helen","23","3","2","19950","263","C23 C25 C27","S"
"male","3","0","90","Celotti, Mr. Francesco","24","0","0","343275","8.05","","S"
"male","3","0","91","Christmann, Mr. Emil","29","0","0","343276","8.05","","S"
"male","3","0","92","Andreasson, Mr. Paul Edvin","20","0","0","347466","7.8542","","S"
"male","1","0","93","Chaffee, Mr. Herbert Fuller","46","1","0","W.E.P. 5734","61.175","E31","S"
"male","3","0","94","Dean, Mr. Bertram Frank","26","1","2","C.A. 2315","20.575","","S"
"male","3","0","95","Coxon, Mr. Daniel","59","0","0","364500","7.25","","S"
"male","3","0","96","Shorney, Mr. Charles Joseph","","0","0","374910","8.05","","S"
"male","1","0","97","Goldschmidt, Mr. George B","71","0","0","PC 17754","34.6542","A5","C"
"male","1","1","98","Greenfield, Mr. William Bertram","23","0","1","PC 17759","63.3583","D10 D12","C"
"female","2","1","99","Doling, Mrs. John T (Ada Julia Bone)","34","0","1","231919","23","","S"
"male","2","0","100","Kantor, Mr. Sinai","34","1","0","244367","26","","S"
"female","3","0","101","Petranec, Miss. Matilda","28","0","0","349245","7.8958","","S"
"male","3","0","102","Petroff, Mr. Pastcho (""Pentcho"")","","0","0","349215","7.8958","","S"
"male","1","0","103","White, Mr. Richard Frasar","21","0","1","35281","77.2875","D26","S"
"male","3","0","104","Johansson, Mr. Gustaf Joel","33","0","0","7540","8.6542","","S"
"male","3","0","105","Gustafsson, Mr. Anders Vilhelm","37","2","0","3101276","7.925","","S"
"male","3","0","106","Mionoff, Mr. Stoytcho","28","0","0","349207","7.8958","","S"
"female","3","1","107","Salkjelsvik, Miss. Anna Kristine","21","0","0","343120","7.65","","S"
"male","3","1","108","Moss, Mr. Albert Johan","","0","0","312991","7.775","","S"
"male","3","0","109","Rekic, Mr. Tido","38","0","0","349249","7.8958","","S"
"female","3","1","110","Moran, Miss. Bertha","","1","0","371110","24.15","","Q"
"male","1","0","111","Porter, Mr. Walter Chamberlain","47","0","0","110465","52","C110","S"
"female","3","0","112","Zabour, Miss. Hileni","14.5","1","0","2665","14.4542","","C"
"male","3","0","113","Barton, Mr. David John","22","0","0","324669","8.05","","S"
"female","3","0","114","Jussila, Miss. Katriina","20","1","0","4136","9.825","","S"
"female","3","0","115","Attalah, Miss. Malake","17","0","0","2627","14.4583","","C"
"male","3","0","116","Pekoniemi, Mr. Edvard","21","0","0","STON/O 2. 3101294","7.925","","S"
"male","3","0","117","Connors, Mr. Patrick","70.5","0","0","370369","7.75","","Q"
"male","2","0","118","Turpin, Mr. William John Robert","29","1","0","11668","21","","S"
"male","1","0","119","Baxter, Mr. Quigg Edmond","24","0","1","PC 17558","247.5208","B58 B60","C"
"female","3","0","120","Andersson, Miss. Ellis Anna Maria","2","4","2","347082","31.275","","S"
"male","2","0","121","Hickman, Mr. Stanley George","21","2","0","S.O.C. 14879","73.5","","S"
"male","3","0","122","Moore, Mr. Leonard Charles","","0","0","A4. 54510","8.05","","S"
"male","2","0","123","Nasser, Mr. Nicholas","32.5","1","0","237736","30.0708","","C"
"female","2","1","124","Webber, Miss. Susan","32.5","0","0","27267","13","E101","S"
"male","1","0","125","White, Mr. Percival Wayland","54","0","1","35281","77.2875","D26","S"
"male","3","1","126","Nicola-Yarred, Master. Elias","12","1","0","2651","11.2417","","C"
"male","3","0","127","McMahon, Mr. Martin","","0","0","370372","7.75","","Q"
"male","3","1","128","Madsen, Mr. Fridtjof Arne","24","0","0","C 17369","7.1417","","S"
"female","3","1","129","Peter, Miss. Anna","","1","1","2668","22.3583","F E69","C"
"male","3","0","130","Ekstrom, Mr. Johan","45","0","0","347061","6.975","","S"
"male","3","0","131","Drazenoic, Mr. Jozef","33","0","0","349241","7.8958","","C"
"male","3","0","132","Coelho, Mr. Domingos Fernandeo","20","0","0","SOTON/O.Q. 3101307","7.05","","S"
"female","3","0","133","Robins, Mrs. Alexander A (Grace Charity Laury)","47","1","0","A/5. 3337","14.5","","S"
"female","2","1","134","Weisz, Mrs. Leopold (Mathilde Francoise Pede)","29","1","0","228414","26","","S"
"male","2","0","135","Sobey, Mr. Samuel James Hayden","25","0","0","C.A. 29178","13","","S"
"male","2","0","136","Richard, Mr. Emile","23","0","0","SC/PARIS 2133","15.0458","","C"
"female","1","1","137","Newsom, Miss. Helen Monypeny","19","0","2","11752","26.2833","D47","S"
"male","1","0","138","Futrelle, Mr. Jacques Heath","37","1","0","113803","53.1","C123","S"
"male","3","0","139","Osen, Mr. Olaf Elon","16","0","0","7534","9.2167","","S"
"male","1","0","140","Giglio, Mr. Victor","24","0","0","PC 17593","79.2","B86","C"
"female","3","0","141","Boulos, Mrs. Joseph (Sultana)","","0","2","2678","15.2458","","C"
"female","3","1","142","Nysten, Miss. Anna Sofia","22","0","0","347081","7.75","","S"
"female","3","1","143","Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)","24","1","0","STON/O2. 3101279","15.85","","S"
"male","3","0","144","Burke, Mr. Jeremiah","19","0","0","365222","6.75","","Q"
"male","2","0","145","Andrew, Mr. Edgardo Samuel","18","0","0","231945","11.5","","S"
"male","2","0","146","Nicholls, Mr. Joseph Charles","19","1","1","C.A. 33112","36.75","","S"
"male","3","1","147","Andersson, Mr. August Edvard (""Wennerstrom"")","27","0","0","350043","7.7958","","S"
"female","3","0","148","Ford, Miss. Robina Maggie ""Ruby""","9","2","2","W./C. 6608","34.375","","S"
"male","2","0","149","Navratil, Mr. Michel (""Louis M Hoffman"")","36.5","0","2","230080","26","F2","S"
"male","2","0","150","Byles, Rev. Thomas Roussel Davids","42","0","0","244310","13","","S"
"male","2","0","151","Bateman, Rev. Robert James","51","0","0","S.O.P. 1166","12.525","","S"
"female","1","1","152","Pears, Mrs. Thomas (Edith Wearne)","22","1","0","113776","66.6","C2","S"
"male","3","0","153","Meo, Mr. Alfonzo","55.5","0","0","A.5. 11206","8.05","","S"
"male","3","0","154","van Billiard, Mr. Austin Blyler","40.5","0","2","A/5. 851","14.5","","S"
"male","3","0","155","Olsen, Mr. Ole Martin","","0","0","Fa 265302","7.3125","","S"
"male","1","0","156","Williams, Mr. Charles Duane","51","0","1","PC 17597","61.3792","","C"
"female","3","1","157","Gilnagh, Miss. Katherine ""Katie""","16","0","0","35851","7.7333","","Q"
"male","3","0","158","Corn, Mr. Harry","30","0","0","SOTON/OQ 392090","8.05","","S"
"male","3","0","159","Smiljanic, Mr. Mile","","0","0","315037","8.6625","","S"
"male","3","0","160","Sage, Master. Thomas Henry","","8","2","CA. 2343","69.55","","S"
"male","3","0","161","Cribb, Mr. John Hatfield","44","0","1","371362","16.1","","S"
"female","2","1","162","Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)","40","0","0","C.A. 33595","15.75","","S"
"male","3","0","163","Bengtsson, Mr. John Viktor","26","0","0","347068","7.775","","S"
"male","3","0","164","Calic, Mr. Jovo","17","0","0","315093","8.6625","","S"
"male","3","0","165","Panula, Master. Eino Viljami","1","4","1","3101295","39.6875","","S"
"male","3","1","166","Goldsmith, Master. Frank John William ""Frankie""","9","0","2","363291","20.525","","S"
"female","1","1","167","Chibnall, Mrs. (Edith Martha Bowerman)","","0","1","113505","55","E33","S"
"female","3","0","168","Skoog, Mrs. William (Anna Bernhardina Karlsson)","45","1","4","347088","27.9","","S"
"male","1","0","169","Baumann, Mr. John D","","0","0","PC 17318","25.925","","S"
"male","3","0","170","Ling, Mr. Lee","28","0","0","1601","56.4958","","S"
"male","1","0","171","Van der hoef, Mr. Wyckoff","61","0","0","111240","33.5","B19","S"
"male","3","0","172","Rice, Master. Arthur","4","4","1","382652","29.125","","Q"
"female","3","1","173","Johnson, Miss. Eleanor Ileen","1","1","1","347742","11.1333","","S"
"male","3","0","174","Sivola, Mr. Antti Wilhelm","21","0","0","STON/O 2. 3101280","7.925","","S"
"male","1","0","175","Smith, Mr. James Clinch","56","0","0","17764","30.6958","A7","C"
"male","3","0","176","Klasen, Mr. Klas Albin","18","1","1","350404","7.8542","","S"
"male","3","0","177","Lefebre, Master. Henry Forbes","","3","1","4133","25.4667","","S"
"female","1","0","178","Isham, Miss. Ann Elizabeth","50","0","0","PC 17595","28.7125","C49","C"
"male","2","0","179","Hale, Mr. Reginald","30","0","0","250653","13","","S"
"male","3","0","180","Leonard, Mr. Lionel","36","0","0","LINE","0","","S"
"female","3","0","181","Sage, Miss. Constance Gladys","","8","2","CA. 2343","69.55","","S"
"male","2","0","182","Pernot, Mr. Rene","","0","0","SC/PARIS 2131","15.05","","C"
"male","3","0","183","Asplund, Master. Clarence Gustaf Hugo","9","4","2","347077","31.3875","","S"
"male","2","1","184","Becker, Master. Richard F","1","2","1","230136","39","F4","S"
"female","3","1","185","Kink-Heilmann, Miss. Luise Gretchen","4","0","2","315153","22.025","","S"
"male","1","0","186","Rood, Mr. Hugh Roscoe","","0","0","113767","50","A32","S"
"female","3","1","187","O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)","","1","0","370365","15.5","","Q"
"male","1","1","188","Romaine, Mr. Charles Hallace (""Mr C Rolmane"")","45","0","0","111428","26.55","","S"
"male","3","0","189","Bourke, Mr. John","40","1","1","364849","15.5","","Q"
"male","3","0","190","Turcin, Mr. Stjepan","36","0","0","349247","7.8958","","S"
"female","2","1","191","Pinsky, Mrs. (Rosa)","32","0","0","234604","13","","S"
"male","2","0","192","Carbines, Mr. William","19","0","0","28424","13","","S"
"female","3","1","193","Andersen-Jensen, Miss. Carla Christine Nielsine","19","1","0","350046","7.8542","","S"
"male","2","1","194","Navratil, Master. Michel M","3","1","1","230080","26","F2","S"
"female","1","1","195","Brown, Mrs. James Joseph (Margaret Tobin)","44","0","0","PC 17610","27.7208","B4","C"
"female","1","1","196","Lurette, Miss. Elise","58","0","0","PC 17569","146.5208","B80","C"
"male","3","0","197","Mernagh, Mr. Robert","","0","0","368703","7.75","","Q"
"male","3","0","198","Olsen, Mr. Karl Siegwart Andreas","42","0","1","4579","8.4042","","S"
"female","3","1","199","Madigan, Miss. Margaret ""Maggie""","","0","0","370370","7.75","","Q"
"female","2","0","200","Yrois, Miss. Henriette (""Mrs Harbeck"")","24","0","0","248747","13","","S"
"male","3","0","201","Vande Walle, Mr. Nestor Cyriel","28","0","0","345770","9.5","","S"
"male","3","0","202","Sage, Mr. Frederick","","8","2","CA. 2343","69.55","","S"
"male","3","0","203","Johanson, Mr. Jakob Alfred","34","0","0","3101264","6.4958","","S"
"male","3","0","204","Youseff, Mr. Gerious","45.5","0","0","2628","7.225","","C"
"male","3","1","205","Cohen, Mr. Gurshon ""Gus""","18","0","0","A/5 3540","8.05","","S"
"female","3","0","206","Strom, Miss. Telma Matilda","2","0","1","347054","10.4625","G6","S"
"male","3","0","207","Backstrom, Mr. Karl Alfred","32","1","0","3101278","15.85","","S"
"male","3","1","208","Albimona, Mr. Nassef Cassem","26","0","0","2699","18.7875","","C"
"female","3","1","209","Carr, Miss. Helen ""Ellen""","16","0","0","367231","7.75","","Q"
"male","1","1","210","Blank, Mr. Henry","40","0","0","112277","31","A31","C"
"male","3","0","211","Ali, Mr. Ahmed","24","0","0","SOTON/O.Q. 3101311","7.05","","S"
"female","2","1","212","Cameron, Miss. Clear Annie","35","0","0","F.C.C. 13528","21","","S"
"male","3","0","213","Perkin, Mr. John Henry","22","0","0","A/5 21174","7.25","","S"
"male","2","0","214","Givard, Mr. Hans Kristensen","30","0","0","250646","13","","S"
"male","3","0","215","Kiernan, Mr. Philip","","1","0","367229","7.75","","Q"
"female","1","1","216","Newell, Miss. Madeleine","31","1","0","35273","113.275","D36","C"
"female","3","1","217","Honkanen, Miss. Eliina","27","0","0","STON/O2. 3101283","7.925","","S"
"male","2","0","218","Jacobsohn, Mr. Sidney Samuel","42","1","0","243847","27","","S"
"female","1","1","219","Bazzani, Miss. Albina","32","0","0","11813","76.2917","D15","C"
"male","2","0","220","Harris, Mr. Walter","30","0","0","W/C 14208","10.5","","S"
"male","3","1","221","Sunderland, Mr. Victor Francis","16","0","0","SOTON/OQ 392089","8.05","","S"
"male","2","0","222","Bracken, Mr. James H","27","0","0","220367","13","","S"
"male","3","0","223","Green, Mr. George Henry","51","0","0","21440","8.05","","S"
"male","3","0","224","Nenkoff, Mr. Christo","","0","0","349234","7.8958","","S"
"male","1","1","225","Hoyt, Mr. Frederick Maxfield","38","1","0","19943","90","C93","S"
"male","3","0","226","Berglund, Mr. Karl Ivar Sven","22","0","0","PP 4348","9.35","","S"
"male","2","1","227","Mellors, Mr. William John","19","0","0","SW/PP 751","10.5","","S"
"male","3","0","228","Lovell, Mr. John Hall (""Henry"")","20.5","0","0","A/5 21173","7.25","","S"
"male","2","0","229","Fahlstrom, Mr. Arne Jonas","18","0","0","236171","13","","S"
"female","3","0","230","Lefebre, Miss. Mathilde","","3","1","4133","25.4667","","S"
"female","1","1","231","Harris, Mrs. Henry Birkhardt (Irene Wallach)","35","1","0","36973","83.475","C83","S"
"male","3","0","232","Larsson, Mr. Bengt Edvin","29","0","0","347067","7.775","","S"
"male","2","0","233","Sjostedt, Mr. Ernst Adolf","59","0","0","237442","13.5","","S"
"female","3","1","234","Asplund, Miss. Lillian Gertrud","5","4","2","347077","31.3875","","S"
"male","2","0","235","Leyson, Mr. Robert William Norman","24","0","0","C.A. 29566","10.5","","S"
"female","3","0","236","Harknett, Miss. Alice Phoebe","","0","0","W./C. 6609","7.55","","S"
"male","2","0","237","Hold, Mr. Stephen","44","1","0","26707","26","","S"
"female","2","1","238","Collyer, Miss. Marjorie ""Lottie""","8","0","2","C.A. 31921","26.25","","S"
"male","2","0","239","Pengelly, Mr. Frederick William","19","0","0","28665","10.5","","S"
"male","2","0","240","Hunt, Mr. George Henry","33","0","0","SCO/W 1585","12.275","","S"
"female","3","0","241","Zabour, Miss. Thamine","","1","0","2665","14.4542","","C"
"female","3","1","242","Murphy, Miss. Katherine ""Kate""","","1","0","367230","15.5","","Q"
"male","2","0","243","Coleridge, Mr. Reginald Charles","29","0","0","W./C. 14263","10.5","","S"
"male","3","0","244","Maenpaa, Mr. Matti Alexanteri","22","0","0","STON/O 2. 3101275","7.125","","S"
"male","3","0","245","Attalah, Mr. Sleiman","30","0","0","2694","7.225","","C"
"male","1","0","246","Minahan, Dr. William Edward","44","2","0","19928","90","C78","Q"
"female","3","0","247","Lindahl, Miss. Agda Thorilda Viktoria","25","0","0","347071","7.775","","S"
"female","2","1","248","Hamalainen, Mrs. William (Anna)","24","0","2","250649","14.5","","S"
"male","1","1","249","Beckwith, Mr. Richard Leonard","37","1","1","11751","52.5542","D35","S"
"male","2","0","250","Carter, Rev. Ernest Courtenay","54","1","0","244252","26","","S"
"male","3","0","251","Reed, Mr. James George","","0","0","362316","7.25","","S"
"female","3","0","252","Strom, Mrs. Wilhelm (Elna Matilda Persson)","29","1","1","347054","10.4625","G6","S"
"male","1","0","253","Stead, Mr. William Thomas","62","0","0","113514","26.55","C87","S"
"male","3","0","254","Lobb, Mr. William Arthur","30","1","0","A/5. 3336","16.1","","S"
"female","3","0","255","Rosblom, Mrs. Viktor (Helena Wilhelmina)","41","0","2","370129","20.2125","","S"
"female","3","1","256","Touma, Mrs. Darwis (Hanne Youssef Razi)","29","0","2","2650","15.2458","","C"
"female","1","1","257","Thorne, Mrs. Gertrude Maybelle","","0","0","PC 17585","79.2","","C"
"female","1","1","258","Cherry, Miss. Gladys","30","0","0","110152","86.5","B77","S"
"female","1","1","259","Ward, Miss. Anna","35","0","0","PC 17755","512.3292","","C"
"female","2","1","260","Parrish, Mrs. (Lutie Davis)","50","0","1","230433","26","","S"
"male","3","0","261","Smith, Mr. Thomas","","0","0","384461","7.75","","Q"
"male","3","1","262","Asplund, Master. Edvin Rojj Felix","3","4","2","347077","31.3875","","S"
"male","1","0","263","Taussig, Mr. Emil","52","1","1","110413","79.65","E67","S"
"male","1","0","264","Harrison, Mr. William","40","0","0","112059","0","B94","S"
"female","3","0","265","Henry, Miss. Delia","","0","0","382649","7.75","","Q"
"male","2","0","266","Reeves, Mr. David","36","0","0","C.A. 17248","10.5","","S"
"male","3","0","267","Panula, Mr. Ernesti Arvid","16","4","1","3101295","39.6875","","S"
"male","3","1","268","Persson, Mr. Ernst Ulrik","25","1","0","347083","7.775","","S"
"female","1","1","269","Graham, Mrs. William Thompson (Edith Junkins)","58","0","1","PC 17582","153.4625","C125","S"
"female","1","1","270","Bissette, Miss. Amelia","35","0","0","PC 17760","135.6333","C99","S"
"male","1","0","271","Cairns, Mr. Alexander","","0","0","113798","31","","S"
"male","3","1","272","Tornquist, Mr. William Henry","25","0","0","LINE","0","","S"
"female","2","1","273","Mellinger, Mrs. (Elizabeth Anne Maidment)","41","0","1","250644","19.5","","S"
"male","1","0","274","Natsch, Mr. Charles H","37","0","1","PC 17596","29.7","C118","C"
"female","3","1","275","Healy, Miss. Hanora ""Nora""","","0","0","370375","7.75","","Q"
"female","1","1","276","Andrews, Miss. Kornelia Theodosia","63","1","0","13502","77.9583","D7","S"
"female","3","0","277","Lindblom, Miss. Augusta Charlotta","45","0","0","347073","7.75","","S"
"male","2","0","278","Parkes, Mr. Francis ""Frank""","","0","0","239853","0","","S"
"male","3","0","279","Rice, Master. Eric","7","4","1","382652","29.125","","Q"
"female","3","1","280","Abbott, Mrs. Stanton (Rosa Hunt)","35","1","1","C.A. 2673","20.25","","S"
"male","3","0","281","Duane, Mr. Frank","65","0","0","336439","7.75","","Q"
"male","3","0","282","Olsson, Mr. Nils Johan Goransson","28","0","0","347464","7.8542","","S"
"male","3","0","283","de Pelsmaeker, Mr. Alfons","16","0","0","345778","9.5","","S"
"male","3","1","284","Dorking, Mr. Edward Arthur","19","0","0","A/5. 10482","8.05","","S"
"male","1","0","285","Smith, Mr. Richard William","","0","0","113056","26","A19","S"
"male","3","0","286","Stankovic, Mr. Ivan","33","0","0","349239","8.6625","","C"
"male","3","1","287","de Mulder, Mr. Theodore","30","0","0","345774","9.5","","S"
"male","3","0","288","Naidenoff, Mr. Penko","22","0","0","349206","7.8958","","S"
"male","2","1","289","Hosono, Mr. Masabumi","42","0","0","237798","13","","S"
"female","3","1","290","Connolly, Miss. Kate","22","0","0","370373","7.75","","Q"
"female","1","1","291","Barber, Miss. Ellen ""Nellie""","26","0","0","19877","78.85","","S"
"female","1","1","292","Bishop, Mrs. Dickinson H (Helen Walton)","19","1","0","11967","91.0792","B49","C"
"male","2","0","293","Levy, Mr. Rene Jacques","36","0","0","SC/Paris 2163","12.875","D","C"
"female","3","0","294","Haas, Miss. Aloisia","24","0","0","349236","8.85","","S"
"male","3","0","295","Mineff, Mr. Ivan","24","0","0","349233","7.8958","","S"
"male","1","0","296","Lewy, Mr. Ervin G","","0","0","PC 17612","27.7208","","C"
"male","3","0","297","Hanna, Mr. Mansour","23.5","0","0","2693","7.2292","","C"
"female","1","0","298","Allison, Miss. Helen Loraine","2","1","2","113781","151.55","C22 C26","S"
"male","1","1","299","Saalfeld, Mr. Adolphe","","0","0","19988","30.5","C106","S"
"female","1","1","300","Baxter, Mrs. James (Helene DeLaudeniere Chaput)","50","0","1","PC 17558","247.5208","B58 B60","C"
"female","3","1","301","Kelly, Miss. Anna Katherine ""Annie Kate""","","0","0","9234","7.75","","Q"
"male","3","1","302","McCoy, Mr. Bernard","","2","0","367226","23.25","","Q"
"male","3","0","303","Johnson, Mr. William Cahoone Jr","19","0","0","LINE","0","","S"
"female","2","1","304","Keane, Miss. Nora A","","0","0","226593","12.35","E101","Q"
